LINEA;PARADAS
16 HospitalIEES;AE01,RP02,IS03,AE04,AC05,AA06,LH07,HT08,JA09,JM10,AO11,ArenalA12,RB13,RU14,RL15,EstadioR16,RD17,UDA18,MA19,IEES20
16 Racar;IEES20,MA19F,UDA18F,RD17F,EstadioR16F,RL15F,RU14F,RB13F,ArenalA12F,AO11F,TG51,TP52,HT08F,LH07F,AA06F,AC05F,AE04F,IS03F,RP02F,AE01
7 Mall;PI21,EG22,Aeropuerto23,Terminal24,HM25,HC26,AF27,AF28,AF29,AR30,Coliseo31,RE32,ArenalA12,AD34,AP35,IL36,DM37,DD38,DD39,MALL40
7 P.Industrial;MALL40,DD39F,DD38F,DM37F,IL36F,AP35F,AD34F,AA33F,RE32F,Coliseo31F,AR30F,AF29F,AF28F,FT61,EstadioR16,HC26F,Terminal24F,Aeropuerto23F,EG22F,PI21
12  Quinta Chica;Banios41,RC42,RS43,RV44,AL45,LD46,LI47,LP48,LR49,LA50,TG51,TP52,PM53,Terminal24,Politecnica54,TA55,Jacaranda56,AP57,PI21,AP58
12 Banios;AP58,AP57F,Jacaranda56F,TA55F,Politecnica54F,Terminal24F,AM105,AJ107,AR30F,AF29F,AF28F,EstadioR16,LP48F,LI47F,LD46F,AL45F,RV44F,RS43F,RC42F,Banios41
5 C.Totoracocha;RS43,RV44,AL45,LD46,DM37,DD38,DD39,DG59,FL60,EstadioR16,FT61,AF29,LG62,LM63,GG64,GO65,TP66,YN67,YA68,AC69
5 Control Sur;AC69,YA68F,YN67F,TP66F,GO65F,GG64F,PT108,PB109,AR30,AF29F,AF28F,EstadioR16F,FT61F,FL60F,DG59F,DD39F,DD38F,LD46F,AL45F,RS43
100 Banios;Terminal24,AM71,AH72,AP73,AD74,AA75,AO11,ArenalA12,AD34,AP35,AL76,AB77,AC78,AM79,AJ80,AL45,RV44,RS43,RC42,Banios41
100 Terminal;Banios41,RC42,RS43,RV44,AL45,AJ80F,AM79F,AC78F,AB77F,AL76F,AA75F,AD34F,ArenalA12F,AO11F,AG110,GT111,GB99,GH100,GM101,Terminal24
2 C.Totoracocha;PC81,AP35,AD34,ArenalA12,RB13,RU14,Coliseo31,AR30,AF29,AF28,EstadioR16,HospReg83,HP84,HC26,HM25,GO65,NH85,HP86,HA87,AC69
2 Misicata;AC69,HA87F,HP86F,NH85F,GO65F,HM25F,HC26F,HP84F,HospReg83,AF27,AF28F,AF29F,AR30F,Coliseo31F,RU14F,RB13F,ArenalA12F,AD34F,AP35F,PC81
13 C.Garaicoa;MALL40,DD39,DD38,DM37,DL88,DA89,AP35,AD34,AA33,RB13,RU14,Coliseo31,AR30,AF29,AF28,EstadioR16,HospReg83,PN90,VV91,AQ92
13 Mall del  Rio;AQ92,VV91F,PN90F,HospReg83,EstadioR16F,AF28F,AF29F,AR30F,Coliseo31F,RU14F,RB13F,AA33F,AD34F,AP35F,DA89F,DL88F,DM37F,DD38F,DD39F,MALL40
1 Teminal;Sayausi93,OB94,OT95,ML96,OC97,AO11,ArenalA12,RB13,RU14,Coliseo31,AR30,TG51,TG98,GB99,GH100,GM101,MP102,HC103,SA104,AC70
1 Sayausi;AC70,SA104F,HC103F,AM105,AB106,AJ107,JA09,JM10,PA112,TL113,Coliseo31F,RU14F,RB13F,ArenalA12F,AO11F,OC97F,ML96F,OT95F,OB94F,Sayausi93
