CODIGO;UBICACIÓN;PARADA TURISTICA
AE01;Abelardo J.Andrade & Enrique Malo Abad;Racar
RP02;Ave. Abelardo J.Andrade & Ave. De Los Cerezos;NULL
RP02F;Ave. Abelardo J.Andrade & Ave. De Los Cerezos;NULL
IS03;Emilio Lopez Ortega & De la Verbena;Cebollar
IS03F;Emilio Lopez Ortega & De la Verbena;Cebollar
AE04;Abelardo J.Andrade & Emilio Lopez Ortega;NULL
AE04F;Abelardo J.Andrade & Emilio Lopez Ortega;NULL
AC05;Abelardo J.Andrade y Av.Del Chofer;NULL
AC05F;Abelardo J.Andrade y Av.Del Chofer;NULL
AA06;Abelardo J.Andrade & Ave de las Americas;NULL
AA06F;Abelardo J.Andrade & Ave de las Americas;NULL
LH07;Luis Cordero & Ave Heroes de Verdeloma;NULL
LH07F;Luis Cordero & Ave Heroes de Verdeloma;NULL
HT08;Ave Heroes de Verdeloma & Tarqui;NULL
HT08F;Ave Heroes de Verdeloma & Tarqui;NULL
JA09;Juan Montalvo & Antonio Vega Munoz;NULL
JM10;Juan Montalvo & Mariscal Lamar;NULL
AO11;Ave de las Americas & Av Ordoñez Lasso;NULL
AO11F;Ave de las Americas & Av Ordoñez Lasso;NULL
ArenalA12;Avenida de las Americas & Ecuador;Arenal
ArenalA12F;Avenida de las Americas & Ecuador;Arenal
RB13;Ave Remigio Crespo Toral & Brasil;NULL
RB13F;Ave Remigio Crespo Toral & Brasil;NULL
RU14;Ave Remigio Crespo Toral & Unidad Nacional;NULL
RU14F;Ave Remigio Crespo Toral & Unidad Nacional;NULL
RL15;Ave Remigio Crespo Toral & Av Loja;NULL
RL15F;Ave Remigio Crespo Toral & Av Loja;NULL
EstadioR16;Roberto Crespo Toral  & Avenida del Estadio;Estadio
EstadioR16F;Roberto Crespo Toral  & Avenida del Estadio;Estadio
RD17;Roberto Crespo Toral & Avenida Diez de Agosto;NULL
RD17F;Roberto Crespo Toral & Avenida Diez de Agosto;NULL
UDA18;Las Garzas & Los Cisnes;Universidad del Azuay
UDA18F;Las Garzas & Los Cisnes;Universidad del Azuay
MA19;Ave 24 de Mayo & Angel Paredes;NULL
MA19F;Ave 24 de Mayo & Angel Paredes;NULL
IEES20;Ave 24 de Mayo & Camino A Rayoloma;Hospital del IEES
PI21;Octavio Chacon Moscoso & Calle Primera;Parque Industrial
EG22;Avenue Espania & Gil Ramirez Davalos;NULL
EG22F;Avenue Espania & Gil Ramirez Davalos;NULL
Aeropuerto23;Avenue Espania & La Castellana;Aeropuerto
Aeropuerto23F;Avenue Espania & La Castellana;Aeropuerto
Terminal24;Avenue Espania & Chapetones;Terminal
Terminal24F;Avenue Espania & Chapetones;Terminal
HM25;Huayna-Capac & Mariscal Sucre;NULL
HM25F;Huayna-Capac & Mariscal Sucre;NULL
HC26;Huayna-Capac & Calle Larga;BANCO CENTRAL
HC26F;Huayna-Capac & Calle Larga;BANCO CENTRAL
AF27;Av 12 de Abril & Florencia Astudillo;NULL
AF28;Av 12 de Abril & Ave Fray  Vicente Solano;NULL
AF28F;Av 12 de Abril & Ave Fray  Vicente Solano;NULL
AF29; Av 12 de Abril  &  Agustin Cueva;Universidad De Cuenca
AF29F; Av 12 de Abril  &  Agustin Cueva;Universidad De Cuenca
AR30;Av 12 de Abril & Remigio Tamariz Crespo;NULL
AR30F;Av 12 de Abril & Remigio Tamariz Crespo;NULL
Coliseo31;Av 12 de Abril & Unidad Nacional;Coliseo
Coliseo31F;Av 12 de Abril & Unidad Nacional;Coliseo
